Datetime,Water Level (m)
2024-10-16 00:00:00,0.0697779
2024-10-16 01:00:00,0.08382076
2024-10-16 02:00:00,0.090790406
2024-10-16 03:00:00,0.09131991
2024-10-16 04:00:00,0.08711392
2024-10-16 05:00:00,0.080095544
2024-10-16 06:00:00,0.07386699
2024-10-16 07:00:00,0.07543595
2024-10-16 08:00:00,0.0884841
2024-10-16 09:00:00,0.11027013
2024-10-16 10:00:00,0.1348064
2024-10-16 11:00:00,0.15867242
2024-10-16 12:00:00,0.17815319
2024-10-16 13:00:00,0.18980756
2024-10-16 14:00:00,0.1952805
2024-10-16 15:00:00,0.19340935
2024-10-16 16:00:00,0.18811916
2024-10-16 17:00:00,0.18030097
2024-10-16 18:00:00,0.17229916
2024-10-16 19:00:00,0.17002521
2024-10-16 20:00:00,0.17931974
2024-10-16 21:00:00,0.198353
2024-10-16 22:00:00,0.22334038
2024-10-16 23:00:00,0.25042415
2024-10-17 00:00:00,0.27492133
2024-10-17 01:00:00,0.29153883
2024-10-17 02:00:00,0.30054843
2024-10-17 03:00:00,0.30339414
2024-10-17 04:00:00,0.30157754
2024-10-17 05:00:00,0.29651207
2024-10-17 06:00:00,0.28996384
2024-10-17 07:00:00,0.285279
2024-10-17 08:00:00,0.29008558
2024-10-17 09:00:00,0.30721426
2024-10-17 10:00:00,0.33126533
2024-10-17 11:00:00,0.35686192
2024-10-17 12:00:00,0.38053855
2024-10-17 13:00:00,0.39706403
2024-10-17 14:00:00,0.40712377
2024-10-17 15:00:00,0.41086286
2024-10-17 16:00:00,0.40975052
2024-10-17 17:00:00,0.40557927
2024-10-17 18:00:00,0.39926243
2024-10-17 19:00:00,0.39316946
2024-10-17 20:00:00,0.39442477
2024-10-17 21:00:00,0.40991172
2024-10-17 22:00:00,0.43625888
2024-10-17 23:00:00,0.46597522
2024-10-18 00:00:00,0.49646986
2024-10-18 01:00:00,0.52157414
2024-10-18 02:00:00,0.53835714
2024-10-18 03:00:00,0.5479625
2024-10-18 04:00:00,0.5516162
2024-10-18 05:00:00,0.5513804
2024-10-18 06:00:00,0.5486751
2024-10-18 07:00:00,0.5451746
2024-10-18 08:00:00,0.5449769
2024-10-18 09:00:00,0.55581975
2024-10-18 10:00:00,0.57891214
2024-10-18 11:00:00,0.60835737
2024-10-18 12:00:00,0.636904
2024-10-18 13:00:00,0.6593422
2024-10-18 14:00:00,0.67333424
2024-10-18 15:00:00,0.6803993
2024-10-18 16:00:00,0.68278193
2024-10-18 17:00:00,0.6817396
2024-10-18 18:00:00,0.6780202
2024-10-18 19:00:00,0.67277277
2024-10-18 20:00:00,0.6690456
2024-10-18 21:00:00,0.6738989
2024-10-18 22:00:00,0.69284046
2024-10-18 23:00:00,0.7216411
2024-10-19 00:00:00,0.7531986
2024-10-19 01:00:00,0.7816782
2024-10-19 02:00:00,0.8017798
2024-10-19 03:00:00,0.81356734
2024-10-19 04:00:00,0.8191866
2024-10-19 05:00:00,0.82075804
2024-10-19 06:00:00,0.8193229
2024-10-19 07:00:00,0.8154914
2024-10-19 08:00:00,0.8111196
2024-10-19 09:00:00,0.8106201
2024-10-19 10:00:00,0.82083935
2024-10-19 11:00:00,0.8417192
2024-10-19 12:00:00,0.86764556
2024-10-19 13:00:00,0.8905184
2024-10-19 14:00:00,0.90566546
2024-10-19 15:00:00,0.91386807
2024-10-19 16:00:00,0.9167635
2024-10-19 17:00:00,0.91646194
2024-10-19 18:00:00,0.9136089
2024-10-19 19:00:00,0.9081499
2024-10-19 20:00:00,0.902352
2024-10-19 21:00:00,0.90089023
2024-10-19 22:00:00,0.9110447
2024-10-19 23:00:00,0.93334574
2024-10-20 00:00:00,0.96385884
2024-10-20 01:00:00,0.9957232
2024-10-20 02:00:00,1.0198714
2024-10-20 03:00:00,1.0353289
2024-10-20 04:00:00,1.0452667
2024-10-20 05:00:00,1.0505449
2024-10-20 06:00:00,1.0520291
2024-10-20 07:00:00,1.0504662
2024-10-20 08:00:00,1.0468708
2024-10-20 09:00:00,1.0432984
2024-10-20 10:00:00,1.044046
2024-10-20 11:00:00,1.0546988
2024-10-20 12:00:00,1.0734773
2024-10-20 13:00:00,1.09471
2024-10-20 14:00:00,1.110553
2024-10-20 15:00:00,1.1198283
2024-10-20 16:00:00,1.1242082
2024-10-20 17:00:00,1.1245141
2024-10-20 18:00:00,1.1214596
2024-10-20 19:00:00,1.1161025
2024-10-20 20:00:00,1.1087517
2024-10-20 21:00:00,1.1013838
2024-10-20 22:00:00,1.0982447
2024-10-20 23:00:00,1.1054425
2024-10-21 00:00:00,1.1226058
2024-10-21 01:00:00,1.1456351
2024-10-21 02:00:00,1.167296
2024-10-21 03:00:00,1.181855
2024-10-21 04:00:00,1.1891409
2024-10-21 05:00:00,1.1930581
2024-10-21 06:00:00,1.1927134
2024-10-21 07:00:00,1.1887426
2024-10-21 08:00:00,1.1830622
2024-10-21 09:00:00,1.1757892
2024-10-21 10:00:00,1.1696764
2024-10-21 11:00:00,1.1688082
2024-10-21 12:00:00,1.1763617
2024-10-21 13:00:00,1.1898447
2024-10-21 14:00:00,1.2028524
2024-10-21 15:00:00,1.2113224
2024-10-21 16:00:00,1.214947
2024-10-21 17:00:00,1.2146243
2024-10-21 18:00:00,1.2111437
2024-10-21 19:00:00,1.2048914
2024-10-21 20:00:00,1.196964
2024-10-21 21:00:00,1.1877551
2024-10-21 22:00:00,1.1799178
2024-10-21 23:00:00,1.1776477
2024-10-22 00:00:00,1.1851093
